"";"Coord. facteur 1";"Coord. facteur 2";"Coord. facteur 3";"Corr. facteur 1";"Corr. facteur 2";"Corr. facteur 3";"COR -facteur 1";"COR -facteur 2";"COR -facteur 3";"CTR -facteur 1";"CTR -facteur 2";"CTR -facteur 3";"mass";"chi.distance";"inertie"
"saber|ser";-0,594781379090081;0,451062795006732;0,167474017064366;-0,777462055129591;0,589601860325421;0,218911852430321;0,655709975517024;0,313608844585221;0,0306811798977731;0,00105090497187643;0,000604397602587016;8,33189128592523e-05;0,00297063107395308;0,374645662433341;0,000416955913112928
"hombre";1,36294134842442;0,581515109687857;-0,643991251026292;0,843559740782873;0,359914779720114;-0,398582883562946;0,779334321603477;0,117980083995805;0,102685594400689;0,0051743347914751;0,000941937740314198;0,00115520783372992;0,00278548093776487;0,787470886361877;0,0017273056897844
"pepe";-1,48562093188173;1,19748194048369;0,748452277038659;-0,724804099057219;0,584226972293812;0,365154573892014;0,591681496789347;0,319688591871326;0,0886299113393411;0,00622039714281626;0,00404147631922536;0,00157881164692273;0,00281839651753166;0,985106662726157;0,0027350710104631
"hoy";-0,40591242433427;0,178419536867039;0,210514237169203;-0,826990879936652;0,363505330080888;0,428893879070787;0,757915658768034;0,121775026131156;0,120309315100815;0,000458949477658476;8,86716941606506e-05;0,000123442053037206;0,00278548093776487;0,237816041176623;0,000157536967534968
"dejar";0,187386891606256;0,146898731371166;0,34599001398413;0,446156516208269;0,349756728777424;0,823780670882618;0,283843553107366;0,145062091934275;0,571094354958355;9,62197370009757e-05;5,91319010699745e-05;0,000328029483271923;0,00274022201558553;0,179398550810613;8,81908670043667e-05
"claro";-0,133030481760672;-0,0175565037460047;0,533570368103672;-0,241792615191606;-0,031910227627415;0,969803108167617;0,0951588347903416;0,00137828833372179;0,903462876875935;4,65280346128198e-05;8,10379501812997e-07;0,000748506862083663;0,0026291319338726;0,219961081699465;0,000127204968189037
"menos";0,482556052080664;-0,472845055496947;0,4228514211656;0,605447873516618;-0,593263792090248;0,530538354361779;0,444120643704579;0,354617657304667;0,201261698990789;0,000616052931568477;0,000591507422893553;0,000473040237557814;0,002645589723756;0,3693316507402;0,000360873963271739
"seguir";-0,129693477137527;0,338150865751601;0,165286964521174;-0,325778505043758;0,849404965887321;0,415186186640901;0,131373883236835;0,742695858057359;0,125930258705815;4,44998721300916e-05;0,00030251262373996;7,22769309181022e-05;0,002645589723756;0,18250839926893;8,81227835956312e-05
"día";-1,22751830778385;0,87961813964058;0,569072206074254;-0,760635222690569;0,545057890611916;0,352627216595879;0,643557724911337;0,274812909809904;0,081629365278772;0,00388098363544876;0,0019928481555428;0,000834104770309377;0,00257564411675156;0,780465059357508;0,00156889104843353
"llegar";-0,643939653019871;0,354882045153557;0,114911262840401;-0,865300729451729;0,476876507139432;0,154413226599279;0,786552172974016;0,198665510069156;0,0147823169568439;0,00105095125394581;0,000319198093525426;3,34670497345631e-05;0,00253449964204307;0,370340017095443;0,000347611006186268
"argentino";-1,48180919904719;-1,137928203584;-1,27756970264457;-0,654692841586103;-0,50275936308427;-0,564455760894521;0,518373611951298;0,254217393076351;0,227408994972333;0,00514956981952842;0,00303679937136093;0,00382785594791001;0,00234523505838401;1,0497601548046;0,00258444055072192
"trabajar";0,45685447416237;0,757806113953215;-0,554879442901131;0,437411228736794;0,725554683592136;-0,531264358010664;0,240458602759032;0,550196710154775;0,209344687086169;0,000461149320177614;0,00126882584822296;0,00068027275632943;0,00220945829184599;0,475200581621732;0,00049893013388182
"parte";0,485963064563597;-0,640610427962343;0,341301208038841;0,556330575666102;-0,733370896173032;0,390721664648108;0,365469371044531;0,528140770541424;0,106389858414079;0,000576199317706053;0,00100127696076281;0,000284211643734117;0,00243986735021354;0,410012417539712;0,000410166545609877
"música";-0,111974801884912;0,574085642697833;0,305160932350716;-0,169729745265753;0,870190509432457;0,462558418868041;0,0367076922923363;0,802392893962794;0,160899413744871;2,67227954428856e-05;0,000702416416763182;0,000198471955185339;0,00213128378989985;0,298099331502362;0,000189392722065108
"medio";0,29023171284844;-0,630697605554704;0,711149342304886;0,292026281513756;-0,63459735224024;0,715546540369616;0,118057978706691;0,463623245968353;0,418318775324986;0,000190618014403103;0,000900153503076949;0,00114444740042366;0,00226294610896703;0,430840413352964;0,000420055890563861
"llevar";-0,403934202044281;0,276048781322431;0,144766953153806;-0,791688172900049;0,54103998673646;0,283735034217477;0,682969316950027;0,265258208328148;0,0517724747218401;0,0003826552116112;0,000178713782212716;4,91501950803495e-05;0,00234523505838401;0,249304014296327;0,000145762202135521
"dos";-0,842020282159735;0,241058275484864;0,252228190884585;-0,923833210742794;0,264480138229088;0,27673535229707;0,891969341908923;0,0607947585560699;0,0472358995350095;0,00157817039639608;0,000129345962777571;0,000141610689374886;0,00222591608172938;0,454743845080803;0,000460301559662082
"comprar";0,477903510207334;1,0342894451085;-0,889609218270233;0,33060828633789;0,71550983351501;-0,615421675884143;0,144089223268859;0,561244980921557;0,294665795809569;0,000422867664066971;0,00198065220295039;0,00146528662291961;0,00185150136188211;0,64216068161917;0,000763504247993873
"mirar";-0,389451805565781;0,389121954710469;0,262044719084499;-0,638740869853103;0,638199880649219;0,42978019209664;0,476783229938074;0,39582409115954;0,127392678902401;0,000340106919380914;0,000339531048124817;0,00015397806162636;0,00224237387161278;0,287681859071199;0,000185580772203906
"mujica";-1,7220889309077;0,767086238499176;0,387129721195887;-0,89480223969258;0,398580161527795;0,201153689197141;0,836939776111566;0,138098406253597;0,0249618176348488;0,00610088272581081;0,00121051425922421;0,000308314930163849;0,00205722373542457;0,960124853006378;0,00189643057972672
"cuenta";0,617461516947108;0,7987398640027;-0,846597159875426;0,468639274303293;0,606225424499453;-0,642548025653289;0,285628941418472;0,397475500275672;0,316895558305833;0,000823551223135033;0,00137810257906817;0,00154819064840523;0,0021600849221958;0,589288588363662;0,000750113337381441
"empezar";0,0999891294657485;0,556563654319968;-0,135919512995114;0,171926763587225;0,956985907655984;-0,233707425021703;0,0358986572394302;0,924952730861286;0,039148611899273;2,06089005030752e-05;0,000638526508382398;3,80813966098078e-05;0,00206133818289542;0,269173886842934;0,000149353395079222
"tanto";0,526483539034875;-0,216395416896174;0,310681429264309;0,811864972478296;-0,333692976431699;0,479086906461625;0,742940218017347;0,104375271203773;0,152684510778905;0,00054286028337167;9,17095561825599e-05;0,000189037978132139;0,00195847699612419;0,311549532087528;0,000190095869955991
