"";"classe 1";"classe 2";"classe 3";"classe 4"
"gobernar";24,801;-12,151;12,84;-22,757
"matar";-0,004;-0,982;-12,801;13,777
"nivel";31,684;-18,184;20,147;-29,856
"picar";-24,164;-18,992;3,408;49,484
"carácter";98,862;-2,428;-13,177;-31,153
"nombre";-13,172;-7,834;6,873;14,828
"riqueza";133,005;-2,064;-21,125;-42,017
"dificultad";58,656;-8,624;-0,516;-20,014
"dictadura";12,043;-18,129;18,278;-10,145
"junto";-9,515;-9,023;2,318;18,961
"cara";37,276;-0,302;-9,526;-9,579
"duda";-4,348;-2,307;-1,1;17,209
"culpar";3,899;29,732;-11,864;-14,544
"movimiento";-18,108;-11,442;254,162;-30,573
"intentar";13,304;2,402;-1,353;-15,723
"abrir";-16,44;-18,367;4,376;35,235
"lleno";-0,805;21,176;-5,189;-1,439
"sencillo";10,687;5,913;-7,724;-9,391
"precio";61,589;-2,183;-3,284;-25,258
"conseguir";-1,433;-2,693;-2,85;15,083
"personal";-0,193;19,246;-3,542;-3,166
"darle";-3,059;111,126;-11,739;-19,885
"cuánto";-25,773;-20,311;-2,5;100,304
"edad";-36,947;40,717;-10,826;10,116
"vengar|venir";-20,07;-4,225;-1,182;48,7
"pensamiento";30,823;2,878;-9,382;-19,898
"negociar";12,966;-14,365;5,554;-4,824
"narcotráfico";145,936;-13,973;-6,946;-43,901
"odiar";-5,227;125,164;-9,642;-22,361
"muerte";-28,415;78,274;-3,542;-0,543
"cuesta";2,984;-7,272;-7,561;7,506
"asunto";-0,813;-2,305;36,835;-6,839
"responsabilidad";1,592;9,91;-5,817;-3,952
"abuelo";-37,756;-12,771;-3,637;110,958
"subir";-0,51;-3,412;-8,827;21,101
"romper";-0,701;24,159;-5,042;-2,396
"paso";0,064;-0,147;-7,964;5,269
"experiencia";-5,035;1,05;9,016;-1,051
"acompañar";-13,035;-10,111;0,339;33,156
"consumo";62,016;-3,237;-0,001;-38,314
"alcanzar";3,214;44,702;-10,193;-23,73
"educación";8,652;-9,699;-3,891;1,661
"década";-1,161;-14,365;75,948;-6,83
"estudiar";-17,332;-7,862;0;41,366
"agradecer";-27,28;-3,978;-16,623;100,185
"hermoso";-29,432;129,673;-9,741;-3,263
"defecto";95,26;-0,534;-13,479;-36,797
"nación";14,504;-17,177;28,662;-19,898
"justo";6,439;-5,305;-0,086;-0,102
"invertir";5,018;-20,429;29,641;-7,173
"estilo";1,592;-2,434;-3,542;2,424
"brutal";45,064;-0,373;-5,555;-17,753
"entrever";-37,756;-16,701;2,751;66,566
"material";14,848;43,694;-13,386;-41,749
"embargo";3,101;2,158;-0,612;-5,508
"conjunto";94,235;-5,248;-7,452;-29,621
"pena";-30,342;233,786;-11,67;-22,816
"vendar|vender";2,585;-11,211;11,794;-2,138
"explicar";0,212;-3,16;2,751;-0,068
"seguridad";55,989;-9,269;-4,781;-9,328
"resolver";42,111;-8,74;0,023;-15,953
"presidencia";-38,203;-16,939;124,463;0,552
"inteligencia";61,327;-3,663;-8,492;-14,249
"comida";0,12;-5,725;-12,509;19,869
"contrario";20,724;6,354;-4,906;-23,442
"barrio";-32,539;-9,367;-7,452;106,456
"probablemente";11,194;8,107;-9,275;-10,756
"importancia";32,421;-1,182;-3,109;-10,764
"vi";-10,774;-7,862;-3,637;50,117
"niño";-13,905;-4,845;-3,473;48,661
"desarrollar";109,549;-5,424;-9,203;-34,995
"cobrar";4,742;8,466;-5,243;-7,738
"revolución";82,203;-5,745;-11,86;-17,329
"imaginar";-15,413;-5,563;3,743;18,591
"salario";45,839;-8,417;-3,068;-7,946
"inevitable";8,155;15,708;-2,981;-22,816
"duro";-0,497;37,137;-4,906;-7,256
"construcción";78,527;-2,909;-6,115;-28,174
"acabar";-20,411;-10;37,124;5,269
"méxico";-0,98;-13,862;37,923;-0,553
"dolor";-2,978;126,041;-11,86;-25,449
"central";14,137;-9,915;25,325;-24,983
"aire";-11,11;-8,063;12,359;8,357
"senador";-39,615;-20,672;75,618;9,944
"organizar";80,268;-2,459;-9,825;-24,983
"abierto";-1,959;-3,82;3,123;2,645
"puerta";-13,137;-12,318;-5,712;70,374
"papá";-24,221;-3,167;0,441;33,648
"don";-32,539;-11,003;1,917;53,221
"profundo";18,432;0,709;-0,591;-18,607
"ocurrir";-12,619;-6,678;4,627;15,72
"privado";12,413;-17,516;41,174;-24,836
"global";120,241;-18,729;-3,337;-32,182
"herramienta";77,267;0;-9,781;-37,913
"fácil";17,741;4,492;-2,981;-20,748
"esperanza";-5,759;86,016;-7,613;-10,756
"avanzar";55,848;-15,019;-0,009;-15,928
"cerca";-16,56;-12,318;-2,429;66,761
"salar";-0,431;-2,622;-0,143;5,312
"desarrollo";64,883;0,291;-8,139;-37,291
"desafío";49,758;-0,842;-7,114;-16,366
"centro";18,191;-10,971;3,319;-8,003
"opinión";0,798;-10,748;34,934;-7,671
"intelectual";47,265;-7,786;-2,677;-9,644
"integración";54,522;-15,989;0,973;-21,642
"definitivo";-0,731;39,979;-8,185;-4,977
"candidato";-32,905;-19,442;56,271;11,772
"energía";13,792;-0,173;0,003;-11,128
"continente";61,349;-15,259;0,562;-24,836
"recuerdo";-33,744;-4,845;-0,019;58,609
"conversar";-26,257;-6,752;-4,206;77,889
"resultado";26,259;-15,978;10,424;-17,66
"producción";2,325;-17,758;80,953;-25,311
"minuto";-30,628;-10,983;-0,009;68,751
"cargo";-5,485;-4,152;84,456;-10,384
"pelota";-9,454;-2,595;-2,2;30,671
"lejos";-25,993;42,392;-3,109;0,825
"grupo";-2,978;53,244;-0,852;-13,852
"encuentro";-2,925;-1,369;-0,57;10,601
"raro";-7,298;-0,701;-0,196;13,709
"fútbol";-21,438;-3,01;-2,06;50,834
"enfrentar";63,382;-12,453;-0,827;-16,986
"desaparecer";5,658;4,314;-1,942;-8,901
"alto";27,93;-14,57;6,029;-15,232
"enseñanza";29,017;-3,572;-1,556;-7,343
"depender";-0,045;38,831;-0,688;-19,204
"ventaja";38,785;2,096;-13,285;-19,859
"vaca";-24,497;-13,106;-0,101;66,424
"moderno";13,444;12,603;-11,929;-14,933
"durar";-20,375;57,351;-3,75;-0,178
"materia";84,898;-4,845;-3,473;-32,671
"ojo";-6,989;76,656;-4,827;-9,279
"margen";0,177;99,552;-12,316;-36,568
"maravilloso";0,524;32,001;-5,73;-12,862
"definir";6,44;0,15;-0,762;-4,524
"supuesto";-0,569;11,568;-0,336;-2,775
"igualdad";35,162;0,594;-5,705;-21,005
"convencer";2,082;1,613;-0,688;-3,351
"concepto";15,245;10,711;-3,887;-25,311
"santo";-26,257;-11,986;-5,563;95,932
"conciencia";-19,161;226,919;-11,735;-32,352
"acordar";-4,413;-3,487;0,737;8,736
"respetar";48,973;-3,983;-5,144;-11,544
"europeo";15,245;-15,498;29,593;-23,018
"corriente";61,276;-10,303;-1,456;-16,199
"real";11,412;-3,651;-0,157;-1,94
"pertenecer";16,283;13,327;-11,101;-19,417
"considerar";-9,426;7,03;15,039;-5,167
"fundamental";7,868;19,918;-3,742;-24,836
"formación";86,769;-3,167;-9,032;-27,785
"vecino";-6,989;-10,983;-1,682;40,985
"deuda|deudo";37,315;-5,149;0,024;-17,662
"comunicación";45,699;-11,439;-1,171;-8,59
"vasco";-20,752;-12,391;-4,418;82,514
"parar";-2,206;-2,23;-4,359;18,979
"corto";12,068;0,455;-1,575;-8,917
"bajar";1,103;-3,487;-0,424;1,111
"religión";0,238;58,257;-3,598;-29,248
"juventud";-13,767;87,855;-8,185;-3,99
"siglo";-6,062;-2,804;16,246;0,423
"carne";5,53;0,539;-9,218;-0,285
"realmente";-14,808;-4,802;-11,542;68,751
"posibilidad";-3,417;-1,232;12,693;-0,003
"modelo";9,086;-5,743;6,742;-8,898
"consejo";-5,21;-0,371;-0,037;8,426
"voluntad";28,758;-0,282;-10,578;-5,072
"utilizar";5,411;0,311;-0,021;-6,948
"tradición";0,648;-6,752;5,098;-0,144
"organización";11,035;-1,021;-0,003;-5,594
"lucir";-31,268;-10,357;-2,121;87,193
"foto";-17,525;-13,392;-2,806;72,302
"filosofía";12,407;2,05;-5,563;-7,853
"disparate";-11,525;9,979;-8,845;9,07
"diferente";4,826;-12,219;1,628;-0,047
"naturalmente";71,387;-1,576;-4,514;-30,873
"enfermedad";85,457;-3,341;-13,015;-21,967
"respeto";0,786;19,317;-8,659;-5,072
"parlamento";-12,123;-17,98;55,963;1,197
"milagro";-18,459;171,181;-7,548;-21,48
"esfuerzo";17,99;0,311;-9,781;-4,693
"dale";-9,766;39,031;-4,541;-0,266
"complejo";117,624;-17,273;-9,593;-22,086
"juego";-1,13;-2,37;0,094;4,397
"fuego";-1,537;17,867;-4,359;-0,487
"definición";-0,988;87,895;-3,176;-30,381
"comunidad";-9,769;108,982;-2,55;-19,921
"cinco";-32,458;-16,788;1,483;65,224
"rato";-19,63;-10,301;0,441;42,546
"semana";-35,745;-19,442;4,27;63,15
"comercio";65,411;-6,957;-0,748;-25,306
"próximo";-28,884;-14,85;100,769;0,374
"principio";0,089;-0,179;-3,752;2,523
"preocupación";12,752;-3,326;0,094;-4,875
"planeta";42,079;2,957;-10,77;-27,298
"golpe";-13,263;-5,339;139,207;-14,223
"distribución";50,45;-17,007;4,385;-26,448
"árbol";-15,078;-2,26;-11,904;60,662
